Totalpris,Adresse,Postnummer,Størrelse,URL
5337909,Olaf Helsets vei 1A,0694,84,https://www.finn.no/realestate/homes/ad.html?finnkode=390196070
4621875,Østerliveien 66B,1153,93,https://www.finn.no/realestate/homes/ad.html?finnkode=388967072
3893252,Henrik Sørensens vei 16,1065,78,https://www.finn.no/realestate/homes/ad.html?finnkode=390221606
6157168,Nordkappgata 32,0479,79,https://www.finn.no/realestate/homes/ad.html?finnkode=388448044
4217302,Harald Sohlbergs vei 2,1064,89,https://www.finn.no/realestate/homes/ad.html?finnkode=389123260
4042724,Tante Ulrikkes vei 44B,0984,81,https://www.finn.no/realestate/homes/ad.html?finnkode=376836786
4956200,Erich Mogensøns vei 25,0594,75,https://www.finn.no/realestate/homes/ad.html?finnkode=389174842
5139806,Hegermanns gate 21,0478,72,https://www.finn.no/realestate/homes/ad.html?finnkode=390323861
5611328,Lars husmanns gate 9,0598,74,https://www.finn.no/realestate/homes/ad.html?finnkode=389432129
4985202,Rustadsaga 13,0693,77,https://www.finn.no/realestate/homes/ad.html?finnkode=389572427
6471940,Tøyenbekken 4,0188,79,https://www.finn.no/realestate/homes/ad.html?finnkode=388806868
4638562,Erlends vei 15,0669,84,https://www.finn.no/realestate/homes/ad.html?finnkode=390200518
4327647,Gangstuveien 6B,0952,74,https://www.finn.no/realestate/homes/ad.html?finnkode=388976382
4860301,Nøkleveien 12,0689,76,https://www.finn.no/realestate/homes/ad.html?finnkode=390594646
5203562,Olaf Bulls vei 12,0765,75,https://www.finn.no/realestate/homes/ad.html?finnkode=389431837
4957109,LJABRUBAKKEN 16 D,1165,72,https://www.finn.no/realestate/homes/ad.html?finnkode=388980062
6169307,Ringgata 1D,0577,85,https://www.finn.no/realestate/homes/ad.html?finnkode=389127449
4623490,Ekraveien 70,0757,73,https://www.finn.no/realestate/homes/ad.html?finnkode=380182764
4874302,Mellombølgen 40,1157,70,https://www.finn.no/realestate/homes/ad.html?finnkode=388938605
3997127,Vestlisvingen 92,0969,68,https://www.finn.no/realestate/homes/ad.html?finnkode=390304312
4374302,Nåkkves vei 5,0670,69,https://www.finn.no/realestate/homes/ad.html?finnkode=388919929
4644430,Karl Staaffs vei 75,0665,80,https://www.finn.no/realestate/homes/ad.html?finnkode=385373277
4712302,Mellombølgen 78,1157,82,https://www.finn.no/realestate/homes/ad.html?finnkode=390210190
6121111,Gruegata 22,0652,70,https://www.finn.no/realestate/homes/ad.html?finnkode=389702963
6153800,Bernt Knudsens vei 34,1152,70,https://www.finn.no/realestate/homes/ad.html?finnkode=389404524
5566309,Etterstadsletta 51A,0660,80,https://www.finn.no/realestate/homes/ad.html?finnkode=390121647
5217137,Platous gate 13,0190,73,https://www.finn.no/realestate/homes/ad.html?finnkode=390042416
5163492,Feltspatveien 36,1155,72,https://www.finn.no/realestate/homes/ad.html?finnkode=389929050
6355940,Gustav Vigelands vei 1,0274,68,https://www.finn.no/realestate/homes/ad.html?finnkode=390472241
5490221,Lillebergsvingen 1,0662,75,https://www.finn.no/realestate/homes/ad.html?finnkode=387121543
4556506,Radarveien 22,1152,72,https://www.finn.no/realestate/homes/ad.html?finnkode=390540050
4715492,Nåkkves vei 5,0670,69,https://www.finn.no/realestate/homes/ad.html?finnkode=387950850
6076202,Kurveien 48,0495,77,https://www.finn.no/realestate/homes/ad.html?finnkode=389863352
4832397,Bølerlia 14,0691,82,https://www.finn.no/realestate/homes/ad.html?finnkode=390514085
4467562,Nåkkves vei 1,0670,69,https://www.finn.no/realestate/homes/ad.html?finnkode=389313750
6459202,Gladengveien 10,0661,69,https://www.finn.no/realestate/homes/ad.html?finnkode=390580047
4830202,Steinspranget 52,1156,78,https://www.finn.no/realestate/homes/ad.html?finnkode=389511242
4165406,Nordlisletta 20,0952,85,https://www.finn.no/realestate/homes/ad.html?finnkode=390342247
4588792,Karl Staaffs vei 19,0665,87,https://www.finn.no/realestate/homes/ad.html?finnkode=389418735
5980773,Ensjøveien 26A,0661,70,https://www.finn.no/realestate/homes/ad.html?finnkode=389417957
5150933,Schweigaards gate 81,0656,69,https://www.finn.no/realestate/homes/ad.html?finnkode=390116745
5853808,Paulus Plass 3 C,0554,69,https://www.finn.no/realestate/homes/ad.html?finnkode=389855056
4996623,Trondheimsveien 199B,0570,81,https://www.finn.no/realestate/homes/ad.html?finnkode=389257705
5135890,Fjellstuveien 42A,0982,107,https://www.finn.no/realestate/homes/ad.html?finnkode=385301273
5460016,Holsts gate 11A H0102,0473,72,https://www.finn.no/realestate/homes/ad.html?finnkode=367835701
5027246,Othilie Tonnings vei 4B,0486,76,https://www.finn.no/realestate/homes/ad.html?finnkode=367310858
4455562,Rugveien 7,0679,73,https://www.finn.no/realestate/homes/ad.html?finnkode=389928632
5682990,Sandakerveien 79,0483,71,https://www.finn.no/realestate/homes/ad.html?finnkode=373157199
4493302,Filerveien 7,0684,83,https://www.finn.no/realestate/homes/ad.html?finnkode=389407834
4213492,Akerlia 22,0951,82,https://www.finn.no/realestate/homes/ad.html?finnkode=389335334
5486240,Johan Scharffenbergs vei 91A,0694,72,https://www.finn.no/realestate/homes/ad.html?finnkode=385384959
6404858,Lovisenberggata 4D,0456,75,https://www.finn.no/realestate/homes/ad.html?finnkode=390469186
3625540,Ravnåsveien 71,1254,66,https://www.finn.no/realestate/homes/ad.html?finnkode=390008649
5986393,Uranienborgveien 11G,0351,70,https://www.finn.no/realestate/homes/ad.html?finnkode=389790856
4095004,Hockeyveien 10,1069,71,https://www.finn.no/realestate/homes/ad.html?finnkode=390750253
4518350,Lakkegata 17,0187,69,https://www.finn.no/realestate/homes/ad.html?finnkode=389898346
5545302,Møllefaret 32A,0750,72,https://www.finn.no/realestate/homes/ad.html?finnkode=390369986
5638488,Sinsenterrassen 25,0574,71,https://www.finn.no/realestate/homes/ad.html?finnkode=390353712
6114276,Vårsvingen 9,1181,90,https://www.finn.no/realestate/homes/ad.html?finnkode=390247405
5955990,Grefsenkollveien 21,0490,73,https://www.finn.no/realestate/homes/ad.html?finnkode=374914317
4487990,Haakon Tveters vei 45,0686,72,https://www.finn.no/realestate/homes/ad.html?finnkode=390750252
4991862,Antenneveien 16,1154,71,https://www.finn.no/realestate/homes/ad.html?finnkode=390475084
6099750,Sinsenveien 37,0585,72,https://www.finn.no/realestate/homes/ad.html?finnkode=365800867
5340900,Nedre Prinsdals vei 70C,1263,72,https://www.finn.no/realestate/homes/ad.html?finnkode=388210460
5602239,Gaupefaret 10,0773,77,https://www.finn.no/realestate/homes/ad.html?finnkode=375500977
4766684,ULVENVEIEN 121 A,0665,66,https://www.finn.no/realestate/homes/ad.html?finnkode=383605373
5234936,Maridalsveien 307,0872,79,https://www.finn.no/realestate/homes/ad.html?finnkode=371546248
4174540,Martin Skatvedts vei 5B,0950,71,https://www.finn.no/realestate/homes/ad.html?finnkode=389865747
6498431,Colletts gate 59,0456,76,https://www.finn.no/realestate/homes/ad.html?finnkode=389789247
5107071,Nordsetergrenda 15C,1161,66,https://www.finn.no/realestate/homes/ad.html?finnkode=384702575
2638431,Sveavegen 81,1263,65,https://www.finn.no/realestate/homes/ad.html?finnkode=380795560
5904940,Lørenveien 62B,0585,64,https://www.finn.no/realestate/homes/ad.html?finnkode=389376663
5898554,Håkons gate 20A,0652,73,https://www.finn.no/realestate/homes/ad.html?finnkode=388596687
4106302,Mellombølgen 155,1157,68,https://www.finn.no/realestate/homes/ad.html?finnkode=390172841
5889315,Brettevilles gate 17,0481,69,https://www.finn.no/realestate/homes/ad.html?finnkode=389789553
5987350,Sinsenveien 5A,0572,65,https://www.finn.no/realestate/homes/ad.html?finnkode=389230521
6262820,Stolmakergata 9A,0551,67,https://www.finn.no/realestate/homes/ad.html?finnkode=389683675
3328684,Kantarellen terrasse 21,1286,64,https://www.finn.no/realestate/homes/ad.html?finnkode=390349473
5946305,Gyldenløves gate 10,0260,63,https://www.finn.no/realestate/homes/ad.html?finnkode=390032540
5997490,Darres gate 12,0175,65,https://www.finn.no/realestate/homes/ad.html?finnkode=369896652
5997452,Skedsmogata 15A,0655,70,https://www.finn.no/realestate/homes/ad.html?finnkode=390223252
5115840,Gamlehagen 17,1151,64,https://www.finn.no/realestate/homes/ad.html?finnkode=389477394
5801090,Ammerudveien 25,206,64,https://www.finn.no/realestate/homes/ad.html?finnkode=322685427
6344543,Kirkeveien 49A,0368,66,https://www.finn.no/realestate/homes/ad.html?finnkode=388742252
3317302,Kurlandstien 20,1052,63,https://www.finn.no/realestate/homes/ad.html?finnkode=390344480
5804400,Herslebs gate 17A,0562,68,https://www.finn.no/realestate/homes/ad.html?finnkode=389441521
5750512,Lilleakerveien 24A,0283,71,https://www.finn.no/realestate/homes/ad.html?finnkode=389644106
5843590,Darres gate 10,0175,64,https://www.finn.no/realestate/homes/ad.html?finnkode=390432666
5271500,Kjølberggata 1E,0653,66,https://www.finn.no/realestate/homes/ad.html?finnkode=390500450
4460587,Pilotveien 10,0770,65,https://www.finn.no/realestate/homes/ad.html?finnkode=389551867
5994275,Københavngata 3,0553,65,https://www.finn.no/realestate/homes/ad.html?finnkode=386386688
5405250,Ammerudveien 23,0958,70,https://www.finn.no/realestate/homes/ad.html?finnkode=346269857
4361862,Rugveien 40,0679,67,https://www.finn.no/realestate/homes/ad.html?finnkode=390454548
6071105,Colletts gate 60 G,0456,79,https://www.finn.no/realestate/homes/ad.html?finnkode=389888475
5247717,Schweigaards gate 94D,0656,61,https://www.finn.no/realestate/homes/ad.html?finnkode=386878285
5990562,Lørenvangen 19,0585,67,https://www.finn.no/realestate/homes/ad.html?finnkode=389369709
5527790,Fougstads gate 7,0173,65,https://www.finn.no/realestate/homes/ad.html?finnkode=389682336
5736025,Trondheimsveien 14B,0560,69,https://www.finn.no/realestate/homes/ad.html?finnkode=368011883
4997562,Radarveien 36,1152,80,https://www.finn.no/realestate/homes/ad.html?finnkode=388315012
5219452,Frysjaveien 38 E,0883,65,https://www.finn.no/realestate/homes/ad.html?finnkode=390568593
